age,fnlwgt,capital-gain,educational-num,hours-per-week,target
26,211435,0,9,40,0
25,201635,0,13,50,0
65,178771,0,9,40,0
29,206351,5013,6,40,0
43,212490,0,11,40,0
36,130926,3674,13,40,0
36,185325,0,9,35,0
47,285335,0,10,50,1
49,232586,0,3,40,0
35,191502,0,13,60,1
27,408623,0,13,50,0
34,162544,0,4,30,0
59,161944,0,13,38,0
56,176538,0,12,45,0
25,359985,0,3,33,0
46,37718,0,12,50,1
44,56651,0,12,42,0
39,151248,0,10,35,0
29,405083,0,9,40,0
43,292175,0,14,45,1
37,379522,0,13,55,1
33,279173,0,9,60,0
17,156501,0,8,16,0
46,207076,0,14,60,0
32,222205,0,10,40,1
31,78602,0,12,40,0
23,37514,0,10,55,0
19,248730,0,10,30,0
61,56248,0,2,60,1
35,198841,0,10,56,0
43,358677,0,11,40,0
19,191889,0,9,25,0
52,164519,0,9,40,0
41,257758,0,8,40,1
28,114673,0,14,40,0
58,213975,0,11,40,0
23,129767,0,10,40,0
22,160369,0,10,20,0
33,169973,0,11,40,0
37,110713,0,9,50,1
37,333664,0,10,40,0
40,105717,0,14,35,0
32,32174,0,9,40,0
62,114060,0,4,91,0
31,246439,0,10,45,0
64,180401,0,6,40,1
26,130931,0,9,40,0
51,175750,0,9,40,0
19,197384,0,10,10,0
26,192262,0,13,45,0
24,236769,0,12,40,0
56,41100,0,14,40,1
55,96459,0,6,70,1
28,142443,0,13,50,0
20,41356,0,10,25,0
48,273828,0,3,40,0
47,362835,0,13,50,1
70,268832,0,11,24,1
52,173991,0,9,38,0
21,188923,0,9,25,0
34,183557,0,9,25,0
37,49626,0,11,43,0
45,93663,0,10,35,0
52,225317,0,3,40,0
30,242739,0,13,40,0
53,104501,0,13,42,0
25,221757,3325,9,45,0
42,195124,7430,7,50,1
33,190511,0,9,30,0
24,237341,0,10,40,1
35,129764,0,9,45,0
32,169583,0,16,70,0
18,127273,0,7,20,0
19,236940,0,9,40,0
54,149650,0,9,40,0
19,27433,0,7,40,0
49,40666,0,10,50,0
18,197600,0,7,20,0
61,103575,99999,15,40,1
35,190728,0,9,40,0
44,138975,0,9,50,0
53,182855,0,6,48,0
47,70754,0,9,40,0
45,207955,0,3,40,0
67,228200,0,9,20,0
45,155659,0,10,40,1
22,316438,0,9,35,0
42,177142,0,13,40,0
44,290521,0,9,40,0
50,410186,0,9,40,0
40,107584,0,13,40,1
22,311311,0,10,60,0
24,228649,0,13,38,0
36,383518,99999,10,40,1
27,84977,0,9,40,0
21,182117,0,13,20,0
57,136107,0,5,40,1
26,122999,8614,14,40,1
59,212600,0,10,40,1
30,277314,0,9,40,0
18,260253,0,7,40,0
74,146365,0,9,28,0
34,159255,0,9,60,1
40,99604,15024,14,24,1
48,192894,0,16,40,1
57,167457,0,4,40,0
46,360593,4650,14,44,0
22,112693,0,9,35,0
46,334421,0,13,40,0
26,336969,0,13,28,0
51,180195,0,9,50,0
55,319733,0,9,40,0
43,211450,0,9,40,0
17,153021,0,8,20,0
40,217826,0,9,40,0
18,80163,0,10,20,0
39,160728,2977,9,40,0
42,201522,0,13,60,0
36,68798,0,9,30,0
24,174391,0,9,40,0
24,38455,0,10,40,0
20,173724,0,10,20,0
38,248886,0,9,42,0
54,192862,0,9,45,0
31,111567,0,9,50,1
40,391736,0,11,40,0
43,174295,0,7,40,0
63,286990,0,10,50,1
40,50524,0,8,40,0
50,189183,0,9,40,0
21,126613,0,9,40,0
30,408328,0,1,40,0
50,274528,0,9,40,0
47,150768,0,13,51,1
37,24342,0,10,38,0
57,175942,0,10,50,1
26,295055,0,9,40,0
54,182854,0,9,45,0
53,394474,0,12,40,0
35,251091,0,14,38,0
52,89028,0,9,40,0
34,221396,0,10,40,0
43,331649,0,13,45,0
51,146574,0,14,50,1
56,205735,0,2,40,0
36,20333,7688,9,40,1
21,118657,0,9,40,0
32,207301,0,9,40,0
38,117312,15024,9,40,1
37,71592,0,9,17,0
17,175414,0,9,15,0
50,38540,0,9,40,0
40,92649,0,12,40,0
52,137984,0,9,40,0
21,121023,0,10,9,0
32,162442,0,13,60,0
25,135568,0,5,40,0
41,280005,0,10,50,0
32,94235,0,9,40,1
33,452924,0,9,40,0
25,177499,0,13,35,0
33,178449,0,10,49,0
24,360077,0,7,40,1
45,70754,7298,15,60,1
19,260327,0,10,18,0
55,322691,0,14,62,1
44,47818,0,9,60,0
37,95654,0,6,35,0
37,506830,0,13,40,0
52,254285,0,13,40,0
42,143069,0,9,60,1
31,300687,0,9,40,0
40,175943,0,11,15,1
36,167482,0,13,40,1
55,27385,0,11,40,0
34,33117,0,10,40,0
42,108502,0,9,42,0
20,204226,0,7,40,0
34,111589,0,6,40,0
41,171234,0,10,55,0
44,167005,4386,10,55,0
49,164200,0,10,40,0
55,120970,0,6,40,1
46,125892,15024,14,40,1
57,121362,0,10,38,1
46,182128,6497,14,50,0
21,25631,0,10,40,0
62,223975,0,4,20,0
41,153031,0,10,65,1
18,282394,0,10,21,0
47,98044,0,1,25,0
42,110028,0,9,40,0
49,181717,0,11,36,0
20,121568,0,9,50,0
46,231515,0,12,47,0
42,111483,0,13,50,1
43,115806,0,14,40,1
18,111019,0,6,24,0
45,51744,0,13,42,0
67,131656,0,13,24,1
20,223921,0,8,40,0
29,138190,0,9,40,0
29,267989,0,13,50,1
19,204337,0,9,25,0
25,148460,4416,9,40,0
30,113364,0,9,40,0
62,206063,0,10,45,0
36,181705,0,7,40,0
19,164339,1055,9,70,0
46,27669,0,9,28,0
34,182926,0,9,40,0
60,282923,7298,10,40,1
31,35378,0,10,45,0
22,95566,0,10,22,0
18,127388,0,7,20,0
39,193689,0,10,40,0
18,178310,0,10,20,0
30,165686,0,13,40,0
26,206600,0,7,30,0
33,175023,0,9,37,0
33,163003,0,13,40,0
37,454024,0,9,35,0
43,223934,0,10,40,0
33,174215,0,13,55,1
34,176244,0,4,40,0
40,202692,0,9,35,0
39,280570,3103,13,50,1
34,295922,0,10,40,1
25,259336,0,9,40,0
31,45781,14084,14,50,1
36,107125,0,9,50,0
51,189762,0,10,15,1
48,104353,0,9,40,1
38,409200,0,10,40,1
35,107302,0,13,40,1
24,270075,0,13,50,0
48,383384,0,9,40,1
25,391591,0,9,50,0
28,187160,0,15,55,0
48,304791,0,10,40,0
39,147500,0,9,40,0
23,71996,0,13,52,0
40,203761,0,7,40,0
43,146770,0,9,40,0
30,161599,0,9,40,1
36,143152,0,4,40,0
38,43712,0,9,55,0
32,153588,0,9,40,0
41,136986,0,10,40,0
58,163047,0,13,40,0
51,193720,0,9,42,0
54,182187,15024,11,38,1
45,151267,0,10,25,0
47,479611,0,13,50,0
26,194813,0,10,40,0
41,117012,0,14,55,0
25,144478,0,10,40,0
38,222450,0,10,40,0
24,324445,0,9,40,0
35,327164,0,12,40,1
23,210797,0,10,40,0
32,200469,3887,10,40,0
21,154192,0,9,40,0
20,122971,0,10,35,0
